date,aportes_kwh
2021-08-17,372379600.0
2021-08-18,279113500.0
2021-08-19,260574900.0
2021-08-20,270091400.0
2021-08-21,224470000.0
2021-08-22,227227700.0
2021-08-23,258696300.0
2021-08-24,223885100.0
2021-08-25,231147600.0
2021-08-26,216751200.0
2021-08-27,166860800.0
2021-08-28,255766300.0
2021-08-29,176085300.0
2021-08-30,244806600.0
2021-08-31,231338900.0
2021-09-01,219686500.0
2021-09-02,185706400.0
2021-09-03,146556200.0
2021-09-04,161733100.0
2021-09-05,225050200.0
2021-09-06,203234700.0
2021-09-07,206801100.0
2021-09-08,210644900.0
2021-09-09,164966800.0
2021-09-10,177181100.0
2021-09-11,258141200.0
2021-09-12,270809500.0
2021-09-13,171929000.0
2021-09-14,172875600.0
2021-09-15,195160300.0
2021-09-16,152281500.0
2021-09-17,140056900.0
2021-09-18,125659800.0
2021-09-19,149604700.0
2021-09-20,132816900.0
2021-09-21,214464200.0
2021-09-22,250009400.0
2021-09-23,414496100.0
2021-09-24,237871100.0
2021-09-25,195213700.0
2021-09-26,152424900.0
2021-09-27,146059600.0
2021-09-28,145577200.0
2021-09-29,173746500.0
2021-09-30,216791600.0
2021-10-01,198180700.0
2021-10-02,217762500.0
2021-10-03,181168300.0
2021-10-04,159049600.0
2021-10-05,177346800.0
2021-10-06,219478200.0
2021-10-07,239594200.0
2021-10-08,178830500.0
2021-10-09,166009700.0
2021-10-10,180441000.0
2021-10-11,203797800.0
2021-10-12,164624600.0
2021-10-13,181725400.0
2021-10-14,192454300.0
2021-10-15,175689800.0
2021-10-16,228049100.0
2021-10-17,236080400.0
2021-10-18,181250400.0
2021-10-19,190353200.0
2021-10-20,191866200.0
2021-10-21,191410500.0
2021-10-22,188532800.0
2021-10-23,166732700.0
2021-10-24,162148700.0
2021-10-25,158551700.0
2021-10-26,239594100.0
2021-10-27,301161900.0
2021-10-28,245522800.0
2021-10-29,238199300.0
2021-10-30,256409300.0
2021-10-31,291624400.0
2021-11-01,248568500.0
2021-11-02,233758000.0
2021-11-03,259292400.0
2021-11-04,359005800.0
2021-11-05,231565900.0
2021-11-06,204941900.0
2021-11-07,222172700.0
2021-11-08,196615800.0
2021-11-09,220238500.0
2021-11-10,212062000.0
2021-11-11,201281800.0
2021-11-12,171868900.0
2021-11-13,215287000.0
2021-11-14,182435100.0
2021-11-15,167926100.0
2021-11-16,149059900.0
2021-11-17,132817400.0
2021-11-18,128099300.0
2021-11-19,146955200.0
2021-11-20,151197700.0
2021-11-21,165320900.0
2021-11-22,165373600.0
2021-11-23,197140900.0
